lat,lon,elev_m
-18.25,-74.4,-4778.0
-18.25,-74.3,-4331.0
-18.25,-74.2,-3928.0
-18.25,-74.1,-4022.0
-18.25,-74.0,-4266.0
-18.25,-73.9,-4338.0
-18.25,-73.8,-4247.0
-18.25,-73.7,-4690.0
-18.25,-73.6,-4106.0
-18.25,-73.5,-4331.0
-18.25,-73.4,-4178.0
-18.25,-73.3,-4086.0
-18.25,-73.2,-4440.0
-18.25,-73.1,-4996.0
-18.25,-73.0,-5138.0
-18.25,-72.9,-5728.0
-18.25,-72.8,-6082.0
-18.25,-72.7,-6451.0
-18.25,-72.6,-6831.0
-18.25,-72.5,-6917.0
-18.25,-72.4,-5937.0
-18.25,-72.3,-4456.0
-18.25,-72.2,-4068.0
-18.25,-72.1,-3836.0
-18.25,-72.0,-2813.0
-18.25,-71.9,-2311.0
-18.25,-71.8,-1770.0
-18.25,-71.7,-1272.0
-18.25,-71.6,-1544.0
-18.25,-71.5,-1495.0
-18.25,-71.4,-1187.0
-18.25,-71.3,-809.0
-18.25,-71.2,-514.0
-18.25,-71.1,-680.0
-18.25,-71.0,-748.0
-18.25,-70.9,-619.0
-18.25,-70.8,-390.0
-18.25,-70.7,-133.0
-18.25,-70.6,-49.0
-18.25,-70.5,17.0
-18.25,-70.4,71.0
-18.25,-70.3,199.0
-18.25,-70.2,407.0
-18.25,-70.1,968.0
-18.25,-70.0,1288.0
-18.25,-69.9,2234.0
-18.25,-69.8,3238.0
-18.25,-69.7,3445.0
-18.25,-69.6,3134.0
-18.25,-69.5,4353.0
-18.25,-69.4,4503.0
-18.25,-69.3,4507.0
-18.25,-69.2,4857.0
-18.25,-69.1,4761.0
-18.25,-69.0,4294.0
-18.25,-68.9,4138.0
-18.25,-68.8,4368.0
-18.25,-68.7,3877.0
-18.25,-68.6,4142.0
-18.25,-68.5,4725.0
-18.25,-68.4,4107.0
-18.25,-68.3,3901.0
-18.25,-68.2,3816.0
-18.25,-68.1,3834.0
-18.25,-68.0,3861.0
-18.0,-82.0,-4541.0
-18.0,-81.9,-4465.0
-18.0,-81.8,-4522.0
-18.0,-81.7,-4517.0
-18.0,-81.6,-4493.0
-18.0,-81.5,-4550.0
-18.0,-81.4,-4522.0
-18.0,-81.3,-4552.0
