anio,mes,region,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2025,3,Costa,1891,31,31,1.0,1891.0
2025,4,Costa,974,30,30,1.0,974.0
2025,5,Costa,5,31,31,1.0,5.0
2025,6,Costa,3,29,30,0.9667,3.1
2025,7,Costa,4,26,31,0.8387,4.8
2025,8,Costa,11,30,31,0.9677,11.4
2025,9,Costa,26,29,30,0.9667,26.9
2025,10,Costa,41,31,31,1.0,41.0
2025,11,Costa,77,30,30,1.0,77.0
2025,12,Costa,37,31,31,1.0,37.0
